Date,Home,HG,HxG,Away,AG,AxG,xGD
4/3/2016,FC Dallas,1,1.77,Columbus,1,0.92,0.84
4/3/2016,Colorado,1,1.76,Toronto,0,0.64,1.13
4/3/2016,Seattle,1,0.79,Montreal,0,0.77,0.02
4/3/2016,San Jose,1,1.51,DC United,1,1.18,0.33
4/2/2016,New England,1,0.69,New York,0,1.83,-1.14
4/2/2016,Chicago,1,0.69,Philadelphia,0,1.6,-0.91
3/27/2016,Vancouver,1,2.14,Houston,0,1.46,0.68
3/26/2016,New York City FC,1,1.66,New England,1,0.82,0.84
3/26/2016,DC United,0,1.97,FC Dallas,3,1.12,0.85
3/20/2016,DC United,1,2.26,Colorado,1,1,1.26
3/20/2016,Philadelphia,3,3.72,New England,0,0.84,2.87
3/20/2016,FC Dallas,2,0.61,Montreal,0,0.5,0.11
3/20/2016,Seattle,1,1.35,Vancouver,2,2.08,-0.73
3/20/2016,L.A. Galaxy,3,2.59,San Jose,1,0.75,1.84
3/20/2016,Portland,2,2.77,Salt Lake,2,0.63,2.13
3/20/2016,Kansas City,1,0.5,Toronto,0,1.21,-0.71
3/19/2016,Chicago,0,0.22,Columbus,0,0.59,-0.36
3/19/2016,New York,4,3.18,Houston,3,1.73,1.45
3/18/2016,New York City FC,0,0.96,Orlando City,1,1.31,-0.34
3/13/2016,Colorado,1,0.76,L.A. Galaxy,0,0.82,-0.06
3/13/2016,Columbus,1,1.71,Philadelphia,2,1.07,0.64
3/13/2016,Kansas City,2,1.14,Vancouver,1,1.34,-0.2
3/13/2016,New York City FC,2,2.59,Toronto,2,0.91,1.68
3/13/2016,Houston,4,1.68,FC Dallas,0,1.24,0.44
3/13/2016,San Jose,2,0.77,Portland,1,1.79,-1.02
3/12/2016,New England,0,1.12,DC United,0,0.45,0.68
3/12/2016,Salt Lake,2,1.14,Seattle,1,0.98,0.17
3/12/2016,Montreal,3,2.11,New York,0,0.93,1.18
3/12/2016,Orlando City,1,0.89,Chicago,1,1,-0.11
3/7/2016,Seattle,0,0.55,Kansas City,1,1.08,-0.54
3/7/2016,L.A. Galaxy,4,2.43,DC United,1,1.06,1.36
3/6/2016,New York,0,0.97,Toronto,2,1.45,-0.48
3/6/2016,Orlando City,2,1.7,Salt Lake,2,1.55,0.15
3/6/2016,Chicago,3,3.06,New York City FC,4,1.94,1.11
3/6/2016,FC Dallas,2,2.34,Philadelphia,0,1,1.34
3/6/2016,Houston,3,2,New England,3,1.55,0.45
3/6/2016,San Jose,1,0.51,Colorado,0,1.28,-0.76
3/6/2016,Portland,2,2.53,Columbus,1,1.81,0.71
3/6/2016,Vancouver,2,2.01,Montreal,3,0.95,1.06
